No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum,S2V1,S2V2,S2V3,S2V4,S2V5,S2V6,S2V7,S2V8,S2V9,S2V10,S2V11,S2V12,S2V13,S2V14,S2V15,S2V16,S2V17,S2V18,S2V19,S2V20,S2V21,S2V22,S2V23,S2V24,S2V25,S2V26,S2V27,S2V28,S2V29,S2V30,S2T1,S2T2,S2T3,S2T4,S2T5,S2T6
1,2015-10-27 11:11:18,7,0,1.2,-0.6,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.034,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
2,2015-10-27 11:11:19,7,0,1.2,0.5,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.034,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
3,2015-10-27 11:11:19,7,0,1.2,-0.7,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.034,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
4,2015-10-27 11:11:20,7,0,1.2,-1.3,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.035,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
5,2015-10-27 11:11:21,7,0,1.2,-5.2,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.035,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
6,2015-10-27 11:11:22,7,0,1.2,-5.4,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.6,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.035,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
7,2015-10-27 11:11:23,7,0,1.2,-1,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.6,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.036,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2015-10-27 11:11:24,7,0,1.2,0,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.036,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
9,2015-10-27 11:11:25,7,0,1.2,0.5,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.036,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
10,2015-10-27 11:11:26,7,0,1.2,2.7,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.6,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.036,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
