No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum,S1T1,S1T2,S1T3,S1T4,S1T5,S1T6,S3T7,S3T8
1,2015-10-27 13:09:17,7,0,1.2,-1.1,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
2,2015-10-27 13:09:17,7,0,1.2,-1.1,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
3,2015-10-27 13:09:18,7,0,1.2,0,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
4,2015-10-27 13:09:19,7,0,1.2,1,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
5,2015-10-27 13:09:20,7,0,1.2,-1.2,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
6,2015-10-27 13:09:21,7,0,1.2,-1.2,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
7,2015-10-27 13:09:22,7,0,1.2,-0.4,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2015-10-27 13:09:24,7,0,1.2,1.1,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
10,2015-10-27 13:09:25,7,0,1.2,1.5,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
11,2015-10-27 13:09:26,7,0,1.2,0,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
12,2015-10-27 13:09:27,7,0,1.2,0,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
13,2015-10-27 13:09:28,7,0,1.2,0.7,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
