No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum,S0V1,S0V2,S0V3,S0V4,S0V5,S0V6,S0V7,S0V8,S0V9,S0V10,S0V11,S0V12,S0V13,S0V14,S0V15,S0V16,S0V17,S0V18,S0V19,S0V20,S0V21,S0V22,S0V23,S0V24,S0V25,S0V26,S0V27,S0V28,S0V29,S0V30,S0V31,S0V32,S0V33,S0V34,S0V35,S0V36,S0V37,S0V38,S0V39,S0V40,S0V41,S0V42,S0V43,S0V44,S0V45,S0V46,S0V47,S0V48,S0V49,S0V50,S0V51,S0V52,S0V53,S0V54,S0V55,S0V56,S0V57,S0V58,S0V59,S0V60,S0V61,S0V62,S0V63,S0V64,S0V65,S0V66,S0V67,S0V68,S0V69,S0V70,S0V71,S0V72,S0V73,S0V74,S0V75,S0V76,S0V77,S0V78,S0V79,S0V80,S0V81,S0V82,S0V83,S0V84,S0V85,S0V86,S0V87,S0V88,S0V89,S0V90,S0V91,S0V92,S0V93,S0V94,S0V95,S0V96,S0V97,S0V98,S0V99,S0V100,S0V101,S0V102,S0V103,S0V104,S0V105,S0V106,S0V107,S0V108,S0V109
1,2015-10-27 15:58:06,7,62.3,62.6,-75.1,97,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.7,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,0,158.4,0.089,0.926,0,0,0A00000000000000,0C00000000000000,0000000000000000,000000000000000,3,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247
2,2015-10-27 15:58:06,7,62.3,62.6,-75.1,97,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.7,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,0,158.4,0.089,0.926,0,0,0A00000000000000,0C00000000000000,0000000000000000,000000000000000,3
3,2015-10-27 15:58:06,7,62.3,62.6,-75.1,97,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.7,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,0,158.4,0.089,0.926,0,0,0A00000000000000,0C00000000000000,0000000000000000,000000000000000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2000-00-00 00:00:00,7,62.3,62.6,-75.4,97,100,3.247,108,3.2,1,0.047,27,0,-40,20,67,0,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,0000000000000000,0000000000000000,000000000000000,3,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247
5,2015-10-27 15:58:09,7,62.3,62.6,-73.7,97.1,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.7,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,218,158.4,0,0,0,0,0A00000000000000,0000000000000000,0000000000000000,000000000000000,3,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247
6,2015-10-27 15:58:10,7,62.3,62.6,-73.9,97.1,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,218,158.4,0.022,0,0,0,0A00000000000000,0000000000000000,0000000000000000,000000000000000,3,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247
7,2015-10-27 15:58:11,7,62.3,62.6,-75,97.1,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,208.1,158.4,0.044,0,0,0,0A00000000000000,0C00000000000000,0000000000000000,000000000000000,3,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247
8,2015-10-27 15:58:12,7,62.4,62.6,-75.3,97.1,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,198.5,158.4,0.066,0,0,0,0A00000000000000,0C00000000000000,0000000000000000,000000000000000,3,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247
9,2015-10-27 15:58:13,7,62.4,62.6,-76,97.1,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,188.3,158.4,0.089,0,0,0,0A00000000000000,0C00000000000000,0000000000000000,000000000000000,3,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247
10,2015-10-27 15:58:14,7,62.4,62.6,-74.7,97.1,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,40,178.1,158.4,0.133,0,0,0,0A00000000000000,0C00000000000000,0000000000000000,000000000000000,3,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.212,3.213,3.214,3.215,3.216,3.217,3.218,3.219,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247
