No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,AI1,AI2,DO1,DO2,DI1,DI2,DI3,DI4,LiquidSensrState,SriousFaultIntrfe,HVILState,MntncSwtchState,SmkeAlarmState,BatLockState,PrssSensrState,HumdSensrState,MnulMntncSwtch,CllsnState,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-10-28 14:05:03,7,62.2,62.5,-77.5,37.3,4,3.247,53,0,33,3.247,193,1,-40,15,233,-77.1,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,1,0.838,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
2,2015-10-28 14:05:03,7,62.2,62.5,-77.5,37.3,4,3.247,53,0,33,3.247,193,1,-40,15,233,-77.1,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,1,0.838,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
3,2015-10-28 14:05:03,7,62.2,62.5,-76.2,38.5,4,3.247,53,0,33,3.247,193,1,-40,15,233,-77.4,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,1,0.861,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
4,2015-10-28 14:05:05,7,62.2,62.5,-78.7,39.6,4,3.247,53,0,33,3.247,193,1,-40,15,233,-77.4,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,1,0.884,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2015-10-28 14:05:06,7,62.2,62.5,-76,41.9,4,3.247,53,0,33,3.247,193,1,-40,15,233,-77,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,1,0.93,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
7,2015-10-28 14:05:08,7,62.2,62.5,-76.5,43.1,4,3.247,53,0,33,3.247,193,1,-40,15,233,-76.9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,1,0.953,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
8,2015-10-28 14:05:09,7,62.2,62.5,-76.7,44.2,4,3.247,53,0,33,3.247,193,1,-40,15,233,-76.9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,1,0.976,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
9,2015-10-28 14:05:09,7,62.2,62.5,-76.6,45.4,4,3.247,53,0,33,3.247,193,1,-40,15,233,-76.8,Normal,On,Off,Off,On,Off,Off,Close,Close,0,0,1,0.999,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
10,2015-10-28 14:05:11,7,62.2,62.5,-78.1,46.5,4,3.247,53,0,33,3.247,193,1,-40,15,233,-76.7,Normal,On,Off,Off,On,Off,Off,Close,Close,0,0,1,1.022,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
11,2015-10-28 14:05:12,7,62.2,62.5,-78.8,47.7,4,3.247,53,0,33,3.247,193,1,-40,15,233,-76.9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,1,1.045,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
12,2015-10-28 14:05:12,7,62.2,62.5,-76.1,48.8,4,3.247,53,0,33,3.247,193,1,-40,15,233,-77.1,Normal,Off,On,Off,On,Off,Off,Close,Close,0,0,1,1.068,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
13,2015-10-28 14:05:14,7,62.2,62.5,-76.2,50,4,3.247,53,0,33,3.247,193,1,-40,15,233,-77.2,Normal,Off,On,Off,On,Off,Off,Close,Close,0,0,1,1.091,674.814,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,FBFF3F3000000002,0000000000000000,000000000000000,10
